date,Dengue Fever,Dengue Haemorrhagic Fever,public_holidays,school_holidays,sunshine_daily_mean,rh_monthly_min,Average.daily.rainfall,Mean.daily.tempearature,Chikungunya,Chikungunya Fever,Zika,Zika Virus Infection
2012-01-01,74,0,1,0,6,59,0.67,27.06,0,0,0,0
2012-01-08,64,2,0,0,6,59,4.82,25.7,0,1,0,0
2012-01-15,60,1,0,0,6,59,8.62,26.97,0,1,0,0
2012-01-22,50,2,2,0,6,59,5.62,26.29,0,0,0,0
2012-01-29,84,1,0,0,6,59,8.45,26.21,0,0,0,0
2012-02-05,87,0,0,0,7,55,0.26,27.19,0,0,0,0
2012-02-12,65,0,0,0,7,55,6.15,26.74,0,0,0,0
2012-02-19,50,1,0,0,7,55,4.75,27.14,0,1,0,0
2012-02-26,55,0,0,0,7,55,5.18,26.82,0,1,0,0
2012-03-04,45,1,0,0,4.2,58,9.85,26.77,0,2,0,0
2012-03-11,64,0,0,5,4.2,58,11.88,26.34,0,0,0,0
2012-03-18,72,1,0,0,4.2,58,7.82,27.47,0,0,0,0
2012-03-25,48,0,0,0,4.2,58,15.7,27.06,0,0,0,0
2012-04-01,52,0,1,0,5.8,54,11.18,27.04,0,0,0,0
2012-04-08,81,1,0,0,5.8,54,14.09,27.01,0,1,0,0
2012-04-15,77,0,0,0,5.8,54,8.29,27.47,0,1,0,0
2012-04-22,64,0,0,0,5.8,54,2.97,28.3,0,0,0,0
2012-04-29,86,2,2,0,5.8,54,13.66,27.61,0,0,0,0
2012-05-06,96,1,0,0,5.6,52,7.99,27.73,0,1,0,0
2012-05-13,80,0,0,0,5.6,52,7.31,28.61,0,0,0,0
2012-05-20,80,0,0,0,5.6,52,9.48,28.13,0,0,0,0
2012-05-27,81,0,0,5,5.6,52,4.27,28.07,0,0,0,0
2012-06-03,99,1,0,5,6,49,7.5,28.51,0,0,0,0
2012-06-10,87,1,0,5,6,49,0,29.31,0,0,0,0
2012-06-17,128,1,0,5,6,49,2.02,28.96,0,0,0,0
2012-06-24,151,0,0,0,6,49,3.49,28.34,0,0,0,0
2012-07-01,140,0,0,0,6.2,48,13.83,27.04,0,0,0,0
2012-07-08,131,1,0,0,6.2,48,4.27,27.38,0,0,0,0
2012-07-15,124,1,0,0,6.2,48,3.42,27.23,0,0,0,0
2012-07-22,110,0,0,0,6.2,48,0.68,28.63,0,0,0,0
2012-07-29,94,0,0,0,6.2,48,9.61,28.13,0,0,0,0
2012-08-05,127,0,1,0,6.1,54,0.14,28.3,0,0,0,0
